sales_id,date,quantity_p1,quantity_p2,quantity_p3,quantity_p4,revenue_p1,revenue_p2,revenue_p3,revenue_p4
0,"2010-06-13 00:00:00",5422,3725,576,907,17187.740,23616.500,3121.920,6466.910
1,"2010-06-14 00:00:00",7047,779,3578,1574,22338.990,4938.860,19392.760,11222.620
10,"2010-06-23 00:00:00",1287,3955,2710,1804,4079.790,25074.700,14688.200,12862.520
1000,"2013-03-14 00:00:00",489,2568,4280,275,1550.130,16281.120,23197.600,1960.750
1001,"2013-03-15 00:00:00",2987,2069,2337,325,9468.790,13117.460,12666.540,2317.250
1002,"2013-03-16 00:00:00",7478,1742,4233,809,23705.260,11044.280,22942.860,5768.170
1003,"2013-03-17 00:00:00",7202,471,2064,351,22830.340,2986.140,11186.880,2502.630
1006,"2013-03-20 00:00:00",3007,1783,3482,1421,9532.190,11304.220,18872.440,10131.730
1007,"2013-03-21 00:00:00",5538,2867,5139,1824,17555.460,18176.780,27853.380,13005.120
1008,"2013-03-22 00:00:00",7658,2328,3326,1284,24275.860,14759.520,18026.920,9154.920
1009,"2013-03-23 00:00:00",3325,1746,5804,1499,10540.250,11069.640,31457.680,10687.870
101,"2010-09-23 00:00:00",2073,3807,5311,490,6571.410,24136.380,28785.620,3493.700
1010,"2013-03-24 00:00:00",5363,2384,2298,978,17000.710,15114.560,12455.160,6973.140
1011,"2013-03-25 00:00:00",7511,3378,1668,1017,23809.870,21416.520,9040.560,7251.210
1012,"2013-03-26 00:00:00",4290,719,1029,828,13599.300,4558.460,5577.180,5903.640
1013,"2013-03-27 00:00:00",4068,2503,2921,842,12895.560,15869.020,15831.820,6003.460
1014,"2013-03-28 00:00:00",1375,2207,5933,937,4358.750,13992.380,32156.860,6680.810
1015,"2013-03-29 00:00:00",4272,3434,4858,542,13542.240,21771.560,26330.360,3864.460
1016,"2013-03-30 00:00:00",5291,2845,3608,1207,16772.470,18037.300,19555.360,8605.910
1017,"2013-03-31 00:00:00",2258,1329,1068,1287,7157.860,8425.860,5788.560,9176.310
1018,"2013-04-01 00:00:00",757,618,1922,1765,2399.690,3918.120,10417.240,12584.450
1019,"2013-04-02 00:00:00",4196,3895,3519,1883,13301.320,24694.300,19072.980,13425.790
102,"2010-09-24 00:00:00",4845,1556,1016,1511,15358.650,9865.040,5506.720,10773.430
1020,"2013-04-03 00:00:00",1207,3861,3980,1443,3826.190,24478.740,21571.600,10288.590
1021,"2013-04-04 00:00:00",2918,3591,2585,1335,9250.060,22766.940,14010.700,9518.550
1022,"2013-04-05 00:00:00",3951,878,3479,596,12524.670,5566.520,18856.180,4249.480
1023,"2013-04-06 00:00:00",2274,3092,1015,1629,7208.580,19603.280,5501.300,11614.770
1024,"2013-04-07 00:00:00",1776,661,3456,1754,5629.920,4190.740,18731.520,12506.020
1025,"2013-04-08 00:00:00",6632,831,5986,583,21023.440,5268.540,32444.120,4156.790
1026,"2013-04-09 00:00:00",7786,1114,4382,415,24681.620,7062.760,23750.440,2958.950
1028,"2013-04-11 00:00:00",2282,1151,5107,1201,7233.940,7297.340,27679.940,8563.130
1029,"2013-04-12 00:00:00",4304,995,1201,745,13643.680,6308.300,6509.420,5311.850
1031,"2013-04-14 00:00:00",2266,2581,454,1855,7183.220,16363.540,2460.680,13226.150
1032,"2013-04-15 00:00:00",7211,842,1981,1238,22858.870,5338.280,10737.020,8826.940
1033,"2013-04-16 00:00:00",5978,3863,5636,1022,18950.260,24491.420,30547.120,7286.860
1034,"2013-04-17 00:00:00",5587,653,586,799,17710.790,4140.020,3176.120,5696.870
1035,"2013-04-18 00:00:00",6175,2007,1938,342,19574.750,12724.380,10503.960,2438.460
1036,"2013-04-19 00:00:00",6773,1738,1907,1974,21470.410,11018.920,10335.940,14074.620
1037,"2013-04-20 00:00:00",3224,1946,2660,1931,10220.080,12337.640,14417.200,13768.030
1038,"2013-04-21 00:00:00",6924,2905,3003,1463,21949.080,18417.700,16276.260,10431.190
1039,"2013-04-22 00:00:00",7573,2667,1306,455,24006.410,16908.780,7078.520,3244.150
104,"2010-09-26 00:00:00",3953,1298,3332,1634,12531.010,8229.320,18059.440,11650.420
1040,"2013-04-23 00:00:00",4641,3253,1671,1395,14711.970,20624.020,9056.820,9946.350
1041,"2013-04-24 00:00:00",7351,3205,4797,1207,23302.670,20319.700,25999.740,8605.910
1042,"2013-04-25 00:00:00",2238,306,3875,1581,7094.460,1940.040,21002.500,11272.530
1043,"2013-04-26 00:00:00",1143,3581,5659,811,3623.310,22703.540,30671.780,5782.430
1044,"2013-04-27 00:00:00",4807,1513,1447,1710,15238.190,9592.420,7842.740,12192.300
1045,"2013-04-28 00:00:00",482,3889,3614,1788,1527.940,24656.260,19587.880,12748.440
1046,"2013-04-29 00:00:00",2890,3223,3997,1641,9161.300,20433.820,21663.740,11700.330
1047,"2013-04-30 00:00:00",5656,1430,4956,747,17929.520,9066.200,26861.520,5326.110
1048,"2013-05-01 00:00:00",1674,2811,5545,1747,5306.580,17821.740,30053.900,12456.110
1049,"2013-05-02 00:00:00",354,3005,1747,1840,1122.180,19051.700,9468.740,13119.200
105,"2010-09-27 00:00:00",2596,1820,760,1253,8229.320,11538.800,4119.200,8933.890
1050,"2013-05-03 00:00:00",7794,2577,5005,301,24706.980,16338.180,27127.100,2146.130
1051,"2013-05-04 00:00:00",3537,1835,2953,792,11212.290,11633.900,16005.260,5646.960
1052,"2013-05-05 00:00:00",5714,1170,5449,1558,18113.380,7417.800,29533.580,11108.540
